epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,1.006275713717737,689,822,537,1.0,1.0,1.0,0.4921308159828186,0.4831637740135193,0.49268367886543274,-0.8216214179992676,-0.7140645384788513,0.27035999298095703
2,0.6620332168641803,603,664,781,1.0060553550720215,0.9935283660888672,0.9982432126998901,0.5334033966064453,0.5098758935928345,0.4871291518211365,-0.2922866642475128,-0.19262267649173737,0.029324360191822052
3,1.24414610243512,516,815,717,1.0057733058929443,0.9935882687568665,0.987359344959259,0.4799031913280487,0.47421371936798096,0.38915133476257324,-0.3040509521961212,-0.051056183874607086,0.08245741575956345
4,0.9925409359892948,402,901,745,0.9864426255226135,0.9684569835662842,0.9958294034004211,0.38097065687179565,0.3674878180027008,0.26480576395988464,-0.05967497080564499,0.00462629459798336,0.1459842324256897
5,1.4528775547285728,497,866,685,0.9823309183120728,0.9575639963150024,0.9928610324859619,0.37926939129829407,0.4148651361465454,0.3123670220375061,0.07734059542417526,0.10009382665157318,-0.01502093207091093
6,1.1845640081370954,107,1257,684,0.9735594391822815,0.943203866481781,0.9667088389396667,0.1536741405725479,0.0643918439745903,0.02208012528717518,0.0,0.07119251042604446,0.5633703470230103
7,1.0301505237577784,55,1949,44,0.9735594391822815,0.9551078081130981,0.9525478482246399,0.15414321422576904,0.041964977979660034,0.017123356461524963,0.0002217480941908434,0.008986161090433598,0.0
8,1.0373354734275746,108,1833,107,0.9728505611419678,0.9536251425743103,0.9525153040885925,0.14900991320610046,0.07469665259122849,0.07250095903873444,0.0,0.010448606684803963,0.0
9,1.1712480310118434,70,1936,42,0.9728505611419678,0.9417245388031006,0.9525153040885925,0.0841161459684372,0.04854065179824829,0.0316854752600193,0.019776232540607452,0.07327906042337418,0.014866125769913197
10,1.2950340971441323,55,1286,707,0.9921200275421143,0.9326326251029968,0.9649332761764526,0.3550397455692291,0.3757683038711548,0.35542628169059753,0.0,0.10025619715452194,0.056649088859558105
11,1.3944224356002288,1532,449,67,0.9921200275421143,0.930036723613739,0.9929198026657104,0.6061586141586304,0.7441862225532532,0.6656525135040283,-0.0023218493442982435,0.005656066350638866,0.0
12,1.4109061539978516,1576,472,0,0.9930863976478577,0.904488742351532,1.0,0.1846822053194046,0.7482758164405823,0.6809064149856567,-0.0036482152063399553,-0.07486676424741745,0.0
13,1.4715539104112774,2037,11,0,0.9658111929893494,0.9134472012519836,1.0,0.01843867264688015,0.9827677607536316,0.8834574818611145,0.009944983758032322,0.0,0.0
14,1.5148884499097794,1052,380,616,0.9442978501319885,0.9137974977493286,0.9931402802467346,0.3975626528263092,0.5000138282775879,0.4372856914997101,0.0330839566886425,-0.003292650915682316,-1.163447814178653e-05
15,1.5974847023003556,1049,26,973,0.9305665493011475,0.9154911041259766,0.9623206853866577,0.4038344919681549,0.5011029839515686,0.4754033088684082,0.04087462276220322,0.0,0.002579245250672102
16,1.6740808014551574,292,765,991,0.9301677942276001,0.9154911041259766,0.9655007719993591,0.7216736078262329,0.14180810749530792,0.1409960836172104,0.025415580719709396,0.0664275661110878,0.00030425848672166467
17,1.72270749746205,64,237,1747,0.9077038764953613,0.9411801695823669,0.9501347541809082,0.8530728220939636,0.024626241996884346,0.023841114714741707,0.0,0.12959124147891998,-0.0003299233503639698
18,1.7585564319089313,33,8,2007,0.9077038764953613,0.9377037286758423,0.9230045676231384,0.8451431393623352,0.005471192300319672,0.009677358902990818,0.0,0.0,5.238917947281152e-05
19,1.7724231772505836,109,19,1920,0.9077038764953613,0.9377037286758423,0.9177902340888977,0.8007586002349854,0.050426121801137924,0.048011451959609985,0.13244350254535675,0.0,0.000691062945406884
20,1.8214178621467128,89,1,1958,0.8879328370094299,0.9377037286758423,0.9177258610725403,0.781424343585968,0.034770313650369644,0.032741744071245193,0.0,0.0,0.0012530252570286393
21,1.836863110547558,65,1,1982,0.8879328370094299,0.9377037286758423,0.9190070033073425,0.7883197069168091,0.014814332127571106,0.0218292698264122,0.0,0.0,9.019747812999412e-05
22,1.838334330794199,69,1,1978,0.8879328370094299,0.9377037286758423,0.9206770658493042,0.7638944387435913,0.00867071095854044,0.014681179076433182,0.13154134154319763,0.0,0.001818230259232223
23,1.7469871659133072,53,0,1995,0.8600433468818665,1.0,0.9217367172241211,0.7792959213256836,0.00883206631988287,0.012779132463037968,0.0,0.0,0.0005148694617673755
24,1.7419934728545674,54,1,1993,0.8600433468818665,0.9377037286758423,0.9299366474151611,0.6947880983352661,0.008667944930493832,0.012481290847063065,0.0,0.0,0.0002228241937700659
25,1.73088619610944,66,3,1979,0.8600434064865112,0.9377037286758423,0.932115912437439,0.6711196899414062,0.0199698768556118,0.020232001319527626,0.0480029322206974,0.0,0.0010005331132560968
26,1.7548602795821404,48,0,2000,0.8486781716346741,1.0,0.930013120174408,0.6560863256454468,0.013443751260638237,0.012617560103535652,0.0,0.0,-0.000330481183482334
27,1.8088403098533719,74,0,1974,0.8486781716346741,1.0,0.9195987582206726,0.6592879295349121,0.01357315294444561,0.010382408276200294,0.0,0.0,0.003729176940396428
28,1.8650745580238155,65,0,1983,0.8486781716346741,1.0,0.9173617362976074,0.6300090551376343,0.014080630615353584,0.012980539351701736,0.013438687659800053,0.0,0.007600229699164629
29,1.9182859471545948,72,0,1976,0.8572571873664856,1.0,0.9089947938919067,0.6616306304931641,0.008352079428732395,0.011342201381921768,0.0,0.0,0.008556988090276718
30,1.9644884930301942,74,6,1968,0.8572571873664856,0.9377037286758423,0.905544638633728,0.6701763868331909,0.011109456419944763,0.012532871216535568,0.0,0.0,0.038966886699199677
31,2.0018263949211823,72,305,1671,0.8572571873664856,0.9377037286758423,0.8877936005592346,0.6751306056976318,0.010748930275440216,0.014232540503144264,-0.06697450578212738,-0.1300678700208664,-0.007663905620574951
32,2.0304639656573022,70,24,1954,0.8474389910697937,0.9437974095344543,0.8855388164520264,0.7537121772766113,0.026957610622048378,0.010989916510879993,0.0,0.0,0.03679395094513893
33,2.0786957615363924,36,79,1933,0.8474389910697937,0.9437974095344543,0.8799924850463867,0.7296705842018127,0.02171868272125721,0.011700732633471489,0.0,0.0,0.033714909106492996
34,2.0999939661254614,51,936,1061,0.8474389910697937,0.9437973499298096,0.8628728985786438,0.7679181694984436,0.03173384815454483,0.0106430659070611,0.0,0.7308195233345032,0.6947137117385864
35,2.140108495041893,37,843,1168,0.8474389910697937,0.9216740131378174,0.8387443423271179,0.7648481130599976,0.009479868225753307,0.012943820096552372,0.44659024477005005,0.6524284482002258,0.47438979148864746
36,2.137460332175517,67,1981,0,0.8393316864967346,0.9097037315368652,1.0,0.8648613095283508,0.007620014250278473,0.013054009526968002,0.0,0.48627686500549316,0.0
37,2.1362425116552983,57,1901,90,0.8393317461013794,0.89629065990448,0.8295255303382874,0.8455129265785217,0.007268789689987898,0.010773337446153164,0.0,0.35031262040138245,0.0
38,2.1604198761616655,62,833,1153,0.8393317461013794,0.9026857614517212,0.8295255303382874,0.7655295729637146,0.01595199480652809,0.017762934789061546,0.07804534584283829,0.06802470237016678,0.08593322336673737
39,2.160790693673024,64,1145,839,0.8388611674308777,0.8958498239517212,0.8033552169799805,0.7839459776878357,0.006158970762044191,0.011363508179783821,0.0,-0.03728055953979492,0.059860121458768845
40,2.1720535049364464,66,1183,799,0.8388611674308777,0.9071402549743652,0.7915359735488892,0.7663929462432861,0.011080948635935783,0.015139708295464516,0.0,-0.14699983596801758,0.021501833572983742
41,2.209662680029546,84,32,1932,0.8388611674308777,0.912024736404419,0.7790912389755249,0.6437960267066956,0.014752307906746864,0.018319450318813324,0.26620349287986755,0.0,0.07133464515209198
42,2.2620341728774527,92,7,1949,0.839044451713562,0.912024736404419,0.7567839026451111,0.610215961933136,0.019259706139564514,0.022538617253303528,0.0,0.0,0.0643046647310257
43,2.2927304344456156,71,752,1225,0.839044451713562,0.912024736404419,0.7354656457901001,0.5966870784759521,0.022134697064757347,0.02016756311058998,0.17435432970523834,-0.11715103685855865,0.05176931619644165
44,2.310526308106238,63,774,1211,0.8469628691673279,0.9094471335411072,0.7373748421669006,0.5778158903121948,0.010800609365105629,0.014698045328259468,0.0,-0.2500511407852173,0.02985299378633499
45,2.3409108088153285,90,286,1672,0.8469629287719727,0.8933092951774597,0.7333839535713196,0.5489563345909119,0.016437694430351257,0.014142181724309921,0.0,-0.26106247305870056,0.032881591469049454
46,2.3741829391857507,128,279,1641,0.8469629287719727,0.878124475479126,0.7384955883026123,0.5077428221702576,0.032002948224544525,0.014025285840034485,0.1048741489648819,-0.04836845397949219,0.06329669058322906
47,2.399771457510928,81,170,1797,0.8530117273330688,0.8722572922706604,0.735763430595398,0.5693451166152954,0.03207137808203697,0.029886364936828613,0.0,-0.061996668577194214,0.021665213629603386
48,2.426891187753768,69,27,1952,0.8530117273330688,0.876095712184906,0.7360185980796814,0.5543241500854492,0.01236498262733221,0.01820247620344162,0.0,0.0,0.005329323932528496
49,2.4547092012697744,53,325,1670,0.8530117273330688,0.876095712184906,0.7214944958686829,0.5802057981491089,0.021069947630167007,0.02059936337172985,0.6474012136459351,0.025533702224493027,0.07889524847269058
50,2.5128396317105146,51,20,1977,0.858294665813446,0.8372681140899658,0.7124765515327454,0.5312612056732178,0.013798652216792107,0.01882435753941536,0.0,0.0,0.10651035606861115
51,2.584441113230178,79,6,1963,0.858294665813446,0.8372681140899658,0.6952230930328369,0.5232357978820801,0.013448324985802174,0.016523370519280434,0.0,0.0,0.1067798063158989
52,2.6137241005395135,102,243,1703,0.858294665813446,0.8372681140899658,0.6883708238601685,0.456999808549881,0.04172240570187569,0.03301771357655525,0.6128091216087341,-0.04886019602417946,0.04723634570837021
53,2.6796103694390463,89,20,1939,0.8845533728599548,0.8291215896606445,0.6850734353065491,0.5333017110824585,0.020635072141885757,0.02207045815885067,0.0,0.0,0.0722217783331871
54,2.685774459619147,94,813,1141,0.8845533728599548,0.8291215896606445,0.6895875334739685,0.653237521648407,0.01473996601998806,0.016613207757472992,0.17947611212730408,0.25124266743659973,0.3099254071712494
55,2.7485069873316608,74,1016,958,0.857970654964447,0.8107472062110901,0.6962302923202515,0.7304653525352478,0.010894847102463245,0.0134898591786623,0.0,0.08158423006534576,0.32481762766838074
