epoch,avg_reward,option 0 dur,option 1 dur,option 2 dur,option 0 std,option 1 std,option 2 std,option 0 term,option 1 term,option 2 term,option 0 adv,option 1 adv,option 2 adv
1,1.6922612053972028,706,305,1037,1.0,1.0,1.0,0.4640525281429291,0.3399342894554138,0.36876457929611206,0.2961733043193817,-0.10906440764665604,0.08770550042390823
2,2.070021530406298,812,500,736,0.9944522976875305,0.9998367428779602,1.0153803825378418,0.5039135813713074,0.4926483929157257,0.4540104568004608,0.2219310998916626,0.07255987823009491,0.043080806732177734
3,2.676360484737669,766,424,858,0.9813004732131958,1.0103332996368408,1.008971929550171,0.3852013647556305,0.566344141960144,0.3019767701625824,0.39178571105003357,0.1452447772026062,0.048340581357479095
4,3.985091157151412,802,469,777,0.9688019752502441,1.001943826675415,0.9861812591552734,0.34185779094696045,0.5672621130943298,0.3328143060207367,0.3190160393714905,0.050615761429071426,-0.129189595580101
5,5.5884218047539695,1245,281,522,0.954203188419342,0.9964215755462646,0.9795164465904236,0.31130778789520264,0.6336382627487183,0.39048418402671814,0.8107529282569885,-0.013621613383293152,-0.0806088075041771
6,7.848115652269154,920,523,605,0.9434317350387573,0.9890491962432861,0.970933198928833,0.18107959628105164,0.484950989484787,0.44785574078559875,0.3468879461288452,0.2913750410079956,-0.09982085973024368
7,10.67795535589783,938,624,486,0.9377071261405945,0.9895714521408081,0.9575226902961731,0.10865426808595657,0.3404441475868225,0.4095150828361511,0.742704451084137,0.5562002658843994,-0.0776292085647583
8,12.34715967631102,1405,138,505,0.9249275922775269,0.9989855289459229,0.9505698084831238,0.02082652784883976,0.25888538360595703,0.19296786189079285,0.1319328248500824,0.0,0.2830437421798706
9,14.082722743232134,1278,105,665,0.9210096597671509,0.9989855289459229,0.9475902318954468,0.01121202390640974,0.2616851329803467,0.1800202578306198,0.43105366826057434,-0.1653691977262497,0.24210897088050842
10,16.176585858716283,1282,52,714,0.9250665903091431,0.9806647896766663,0.9449962973594666,0.002478530630469322,0.3217051327228546,0.15748891234397888,1.0012847185134888,0.0,0.31143200397491455
11,17.39035377276902,1411,22,615,0.9185171723365784,0.9806647896766663,0.9373091459274292,0.001243640435859561,0.3623102605342865,0.1755681037902832,1.0449632406234741,0.0,0.24441049993038177
12,19.184801343900524,1492,27,529,0.918682873249054,0.9806647896766663,0.9342732429504395,0.0006118810852058232,0.31359562277793884,0.1185099333524704,0.974114716053009,0.0,0.3726726770401001
13,20.451402794399304,1660,14,374,0.9161128401756287,0.9806647896766663,0.9380429983139038,0.00011344748781993985,0.32050764560699463,0.06609410047531128,1.057468295097351,0.0,0.3676970899105072
14,21.378579061624595,1649,11,388,0.917365550994873,0.9806647896766663,0.9367960691452026,6.332711927825585e-05,0.3254305422306061,0.06141231581568718,1.6232421398162842,0.0,0.20177818834781647
15,21.899681678888456,995,7,1046,0.902442455291748,0.9806647896766663,0.9370942711830139,2.12813956750324e-05,0.34841102361679077,0.02225681208074093,2.348865270614624,0.0,0.3832142651081085
16,22.836646924228106,1424,2,622,0.9030390381813049,0.9806647896766663,0.939218282699585,1.0697269317461178e-05,0.347363144159317,0.015904275700449944,1.8035175800323486,0.0,0.2888137400150299
17,23.74631327884755,1367,9,672,0.8870052099227905,0.9806647896766663,0.9437217712402344,1.2057580534019507e-05,0.38231608271598816,0.02924186736345291,1.4417513608932495,0.0,-0.15434323251247406
18,24.097329435854018,994,22,1032,0.8850258588790894,0.9806647896766663,0.9590230584144592,1.9049010688831913e-06,0.4115132689476013,0.09410342574119568,1.4776185750961304,-1.0455900430679321,-0.22555817663669586
19,24.22740992608719,1132,102,814,0.8806105256080627,0.9633579254150391,0.9571175575256348,8.099422643681464e-07,0.5872433185577393,0.07693761587142944,1.6263047456741333,0.0,-0.9896978735923767
20,25.443883923122154,1724,159,165,0.8685073852539062,0.9633579254150391,0.9603701829910278,1.200527435685217e-06,0.590266764163971,0.30185094475746155,1.9377275705337524,-0.5411139726638794,-0.943414032459259
21,26.821576316787517,1867,45,136,0.86823970079422,0.9506567120552063,0.9458642601966858,1.046970282914117e-05,0.7172542214393616,0.3632480502128601,1.6117181777954102,0.0,0.0
22,27.86508925602094,1682,63,303,0.8648912310600281,0.9506567120552063,0.9450189471244812,1.3461100934364367e-05,0.6934035420417786,0.4020376205444336,1.5405006408691406,0.0,-0.5299085378646851
23,29.564234272404256,1942,77,29,0.8515231609344482,0.9506567120552063,0.9657430052757263,5.2258052164688706e-05,0.7446770668029785,0.6124342083930969,1.959166169166565,-0.14702774584293365,0.0
24,31.33180230295785,1853,173,22,0.8444031476974487,0.9478411078453064,0.966385006904602,0.03616587445139885,0.7604861855506897,0.5835978984832764,1.796485185623169,-0.1766163557767868,0.0
25,33.761724188269966,1836,174,38,0.8400052785873413,0.9575132727622986,0.966385006904602,0.06452064961194992,0.7508165240287781,0.5457701683044434,2.1290810108184814,-0.8846930265426636,0.0
26,35.87725723569314,1893,56,99,0.8256908059120178,0.9691595435142517,0.966385006904602,0.05189203470945358,0.8102173805236816,0.5281227827072144,1.5410337448120117,0.0,1.190129041671753
27,38.17367795147161,1955,71,22,0.8115886449813843,0.9693092703819275,0.9781961441040039,0.056087590754032135,0.8763399720191956,0.6360198259353638,1.3659230470657349,0.0,0.0
28,40.017118912163795,1923,113,12,0.8173549771308899,0.9693092703819275,0.9785609841346741,0.032724346965551376,0.8938726186752319,0.6872263550758362,2.469080686569214,0.0029384547378867865,0.0
29,42.20329264690961,1987,60,1,0.8056495189666748,0.9398837089538574,0.9785609841346741,0.012848876416683197,0.8502417802810669,0.6736711263656616,3.1639087200164795,0.0,0.0
30,44.35733500885204,2017,29,2,0.798794150352478,0.9390501976013184,0.9785609841346741,0.013588836416602135,0.9034220576286316,0.7853298187255859,4.652129650115967,0.0,0.0
31,46.36688111310573,1968,75,5,0.7888892889022827,0.9390501976013184,0.9785609841346741,0.02578078955411911,0.9256086349487305,0.7987857460975647,5.439482688903809,0.006004339549690485,0.0
32,48.59879341138707,1969,75,4,0.7742757797241211,0.9309518933296204,0.9785609841346741,0.028366712853312492,0.9110607504844666,0.8038133978843689,6.153233051300049,0.0,0.0
33,50.76774435912688,1938,103,7,0.7744466066360474,0.9305695295333862,0.9785609841346741,0.03572443500161171,0.8872669339179993,0.7822754383087158,6.989267826080322,-0.2051662653684616,0.0
34,52.695975964043654,1972,43,33,0.7714074850082397,0.9220101833343506,0.9785609841346741,0.012563508003950119,0.9792391061782837,0.8454524874687195,7.738470554351807,0.0,0.0
35,54.32871773634696,1995,31,22,0.7644054293632507,0.922102153301239,0.9785609841346741,0.01394973136484623,0.9774033427238464,0.7405169010162354,7.239809513092041,0.0,0.0
36,56.45283181336602,2019,26,3,0.761227011680603,0.922102153301239,0.9785609841346741,0.0010912924772128463,0.9803435206413269,0.7619820833206177,6.623990058898926,0.0,0.0
37,58.55234510244591,2002,33,13,0.7638599872589111,0.922102153301239,0.9785609841346741,0.0005912455380894244,0.9801889657974243,0.7677479982376099,7.68638801574707,0.0,0.0
38,59.410022236499344,2011,32,5,0.7650765776634216,0.922102153301239,0.9785609841346741,0.00010116085468325764,0.9856360554695129,0.7697646021842957,8.230286598205566,0.0143464719876647,0.0
39,60.33804077113879,2001,34,13,0.7757804989814758,0.9091898798942566,0.9785609841346741,1.1852747775265016e-05,0.9860588312149048,0.7367962598800659,7.894313812255859,0.0,0.0
40,61.54593717648316,2018,24,6,0.7737824320793152,0.9087554216384888,0.9785609841346741,9.258731097361306e-07,0.9905779957771301,0.7532355785369873,8.994824409484863,0.0,0.0
41,61.60659719764488,2002,44,2,0.7661977410316467,0.9087554216384888,0.9785609841346741,7.3800811151159e-06,0.9844875335693359,0.7276200652122498,9.078895568847656,0.0,0.0
42,62.57006442020298,2007,35,6,0.7617112994194031,0.9087554216384888,0.9785609841346741,6.320290708572429e-07,0.9834787249565125,0.6827297806739807,9.00992488861084,0.0,0.0
43,63.02629043170305,2030,14,4,0.7554059028625488,0.9087554216384888,0.9785609841346741,0.0003164451045449823,0.9774027466773987,0.7118175625801086,9.501375198364258,0.0,4.419246196746826
44,61.81021612551142,1462,25,561,0.7489639520645142,0.9087554216384888,0.9864807724952698,0.05407093092799187,0.9576072096824646,0.008391479961574078,0.18169069290161133,-0.21577145159244537,0.4862331449985504
45,61.26390957689056,1653,169,226,0.7468124032020569,0.8932547569274902,1.0021177530288696,0.001839437521994114,0.9499683976173401,0.012486611492931843,1.029923915863037,-0.13704249262809753,-1.1428076028823853
46,60.795993409792,1874,117,57,0.7336359620094299,0.9135109782218933,1.0010204315185547,1.8137116057914682e-06,0.986268937587738,0.012197709642350674,1.7253423929214478,0.0,0.0
47,60.540803393956764,1871,79,98,0.7314981818199158,0.9135110378265381,1.0008869171142578,2.2559718217962654e-06,0.9804920554161072,0.00830624345690012,1.3445813655853271,-0.172581285238266,0.0
48,61.54044824509388,2025,17,6,0.722001314163208,0.9106844067573547,1.0008869171142578,6.375037742145651e-07,0.984990119934082,0.006629223469644785,1.9309110641479492,0.0,-3.6005473136901855
